Title,Price,Time,Min Age,Max Age,Min Players,Max Players,Price Scaled,Time Scaled,Min Age Scaled,Max Age Scaled,Min Players Scaled,Max Players Scaled,average,avg_rating,avgweight,baverage,geek_rating,name,numcomments,numfans,numgeeklists,numhasparts,numowned,numplays,numplays_month,numprevowned,numtrading,numwanting,numwantparts,numweights,numwish,numwishlistcomments,playmonth,rank,stddev,usersrated,views,voters
Fruitirelli,44,0,4,99,2,4,0.22110552763819094,0.0,0.125,1.0,0.16666666666666666,0.040404040404040414,,,,,,,,,,,,,,,,,,,,,,,,,,
Ys+,0,0,10,99,3,5,0.0,0.0,0.5,1.0,0.3333333333333333,0.0505050505050505,6.9377,6.94,2.9188,6.50852,6.509,Ys (2004),861,27.0,1153,2,3256,3552,7,598,184,141,3,320,462,76,2017-11,857,1.28373,2374,201809,2374
Power Grid: Korea/China,14,0,12,99,2,6,0.07035175879396985,0.0,0.625,1.0,0.16666666666666666,0.060606060606060615,,,,,,,,,,,,,,,,,,,,,,,,,,
Witch's Brew,39,0,9,99,3,5,0.19597989949748745,0.0,0.4375,1.0,0.3333333333333333,0.0505050505050505,7.04053,7.04,1.8594,6.67652,6.677,Witch's Brew (2008),926,90.0,1170,4,3398,9150,20,434,75,332,2,313,841,186,2017-11,636,1.19793,3375,242523,3375
Dominion,44,1,13,99,2,4,0.22110552763819094,0.00027777777777777783,0.6875,1.0,0.16666666666666666,0.040404040404040414,7.68171,7.68,2.3726,7.58715,7.587,Dominion (2008),11135,5646.0,13075,36,76995,626967,3330,5248,1613,564,24,4490,5881,694,2017-11,61,1.42875,59553,3333573,59553
Nefertiti,0,0,8,99,3,4,0.0,0.0,0.375,1.0,0.3333333333333333,0.040404040404040414,6.99942,7.00,2.3598,6.44888,6.449,Nefertiti (2008),493,26.0,684,2,1796,3414,7,300,68,82,1,164,309,59,2017-11,945,1.10981,1745,115144,1745
Tzaar,34,0,12,99,2,0,0.1708542713567839,0.0,0.625,1.0,0.16666666666666666,0.0,7.68485,7.68,2.5407,7.00931,7.009,TZAAR (2007),726,110.0,642,0,3459,10562,137,172,39,309,2,172,1136,160,2017-11,326,1.32295,2291,190713,2291
The Three Commandments,34,0,10,99,3,7,0.1708542713567839,0.0,0.5,1.0,0.3333333333333333,0.0707070707070707,5.48862,5.49,1.6429,5.49001,5.490,The Three Commandments (aka The 3 Commandments)(2008),213,6.0,534,1,786,767,2,205,76,28,2,56,192,19,2017-11,12513,1.78343,483,57510,483
A Castle for all Seasons,54,0,10,99,2,4,0.271356783919598,0.0,0.5,1.0,0.16666666666666666,0.040404040404040414,6.76675,6.77,2.7985,6.41563,6.416,A Castle for All Seasons (2008),818,68.0,1213,2,2983,4789,11,749,162,141,3,273,489,98,2017-11,995,1.18581,2717,218513,2717
Princes of Machu Pacchu,59,0,12,99,2,5,0.2964824120603015,0.0,0.625,1.0,0.16666666666666666,0.0505050505050505,,,,,,,,,,,,,,,,,,,,,,,,,,
Zooloretto XXL,34,0,10,99,2,5,0.1708542713567839,0.0,0.5,1.0,0.16666666666666666,0.0505050505050505,6.94268,6.94,2.04,5.85722,5.857,Zooloretto XXL (2008),108,5.0,85,2,1291,310,1,97,19,87,2,25,164,19,2017-11,N/A,1.32054,338,57030,338
RFTG: Rebel vs Imperium,24,0,12,99,1,6,0.12060301507537688,0.0,0.625,1.0,0.0,0.060606060606060615,,,,,,,,,,,,,,,,,,,,,,,,,,
Name of the Rose,0,0,10,99,2,5,0.0,0.0,0.5,1.0,0.16666666666666666,0.0505050505050505,6.76731,6.77,2.3784,6.19461,6.195,The Name of the Rose (2008),323,55.0,531,4,1497,2185,5,280,39,210,6,111,572,80,2017-11,1449,1.30912,1265,161929,1265
Dominion: Intrigue,44,0,13,99,2,6,0.22110552763819094,0.0,0.6875,1.0,0.16666666666666666,0.060606060606060615,7.77851,7.78,2.4398,7.65217,7.652,Dominion: Intrigue (2009),3560,967.0,2184,15,34506,96370,283,2301,473,450,10,1230,2616,339,2017-11,53,1.36344,24286,876950,24286
Space Alert,59,0,12,99,2,5,0.2964824120603015,0.0,0.625,1.0,0.16666666666666666,0.0505050505050505,7.51137,7.51,2.9349,7.33755,7.338,Space Alert (2008),2926,816.0,3695,10,16819,52121,204,1924,509,848,7,722,4555,637,2017-11,130,1.56185,12405,1101539,12405
Java,44,0,12,99,2,4,0.22110552763819094,0.0,0.625,1.0,0.16666666666666666,0.040404040404040414,7.03432,7.03,3.4,6.64597,6.646,Java (2000),1079,60.0,1297,3,4331,2988,16,646,133,382,4,360,881,128,2017-11,678,1.31811,3034,251780,3034
El Presidente,44,0,12,99,2,5,0.22110552763819094,0.0,0.625,1.0,0.16666666666666666,0.0505050505050505,6.47925,6.48,1.9265,5.97862,5.979,Junta: Viva el Presidente! (2010),300,35.0,444,0,1599,1772,3,273,91,75,0,68,271,49,2017-11,2098,1.36438,1153,105050,1153
Sherwood Forest,49,0,9,99,3,6,0.2462311557788945,0.0,0.4375,1.0,0.3333333333333333,0.060606060606060615,5.82642,5.83,2.2432,5.58088,5.581,Sherwood Forest (2009),115,6.0,227,0,501,432,0,132,37,18,1,37,69,10,2017-11,6506,1.47615,360,58688,360
Alea Iacta Est,0,0,9,99,2,5,0.0,0.0,0.4375,1.0,0.16666666666666666,0.0505050505050505,6.66025,6.66,1.9104,6.33394,6.334,Alea Iacta Est (2009),803,51.0,984,1,2674,7012,14,594,102,163,2,212,502,124,2017-11,1140,1.11894,2505,173838,2505
Galaxy Trucker: Big expansion,54,0,12,99,2,5,0.271356783919598,0.0,0.625,1.0,0.16666666666666666,0.0505050505050505,7.95309,7.95,2.6776,7.26739,7.267,Galaxy Trucker: The Big Expansion (2008),766,74.0,389,1,6138,3861,21,447,88,214,0,152,664,130,2017-11,N/A,1.20432,2663,162567,2663
Dominion: Seaside,44,0,13,99,2,6,0.22110552763819094,0.0,0.6875,1.0,0.16666666666666666,0.060606060606060615,8.06556,8.07,2.4951,7.83154,7.832,Dominion: Seaside (2009),2255,512.0,1325,11,23619,52044,121,1332,310,358,9,610,1617,269,2017-11,N/A,1.19642,12061,504581,12061
Chicago Express: Narrow Guage & Erie Railroad expansion,0,0,12,99,2,5,0.0,0.0,0.625,1.0,0.16666666666666666,0.0505050505050505,,,,,,,,,,,,,,,,,,,,,,,,,,
Krysis,0,0,10,99,2,4,0.0,0.0,0.5,1.0,0.16666666666666666,0.040404040404040414,6.14361,6.14,2.5556,5.58205,5.582,Krysis (2009),76,22.0,221,0,430,329,2,90,43,8,1,36,66,15,2017-11,6460,1.57508,255,63528,255
Power Grid: Brazil/Iberia,24,0,12,99,2,6,0.12060301507537688,0.0,0.625,1.0,0.16666666666666666,0.060606060606060615,,,,,,,,,,,,,,,,,,,,,,,,,,
Tobago,54,0,10,99,2,4,0.271356783919598,0.0,0.5,1.0,0.16666666666666666,0.040404040404040414,7.13078,7.13,2.1218,6.95432,6.954,Tobago (2009),2067,339.0,2294,5,9605,19924,119,1320,172,771,10,632,2686,416,2017-11,377,1.16005,8658,485734,8658
Assyria,59,0,12,99,2,4,0.2964824120603015,0.0,0.625,1.0,0.16666666666666666,0.040404040404040414,6.90274,6.90,3.0075,6.30479,6.305,Assyria (2009),451,40.0,888,1,1972,2577,14,429,114,85,2,133,279,71,2017-11,1206,1.26875,1406,135086,1406
Imperial 2030,59,0,12,99,2,6,0.2964824120603015,0.0,0.625,1.0,0.16666666666666666,0.060606060606060615,7.73102,7.73,3.5033,7.28927,7.289,Imperial 2030 (2009),888,239.0,1112,2,4649,6606,48,479,72,462,3,300,1441,188,2017-11,155,1.44434,4307,393006,4307
Havana,0,0,10,99,2,4,0.0,0.0,0.5,1.0,0.16666666666666666,0.040404040404040414,6.8846,6.88,2.2139,6.49234,6.492,Havana (2009),576,41.0,815,2,3227,6339,26,568,125,128,1,187,436,91,2017-11,876,1.17438,2585,142782,2585
Factory Manager,44,0,12,99,2,5,0.22110552763819094,0.0,0.625,1.0,0.16666666666666666,0.0505050505050505,6.89859,6.90,2.9978,6.66767,6.668,Power Grid: Factory Manager (2009),1210,132.0,1868,7,5989,9360,18,1152,265,177,2,459,938,171,2017-11,649,1.34625,5351,356856,5351
Strada Romana,49,0,8,99,2,5,0.2462311557788945,0.0,0.375,1.0,0.16666666666666666,0.0505050505050505,6.17582,6.18,2.0833,5.65556,5.656,Strada Romana (2009),112,7.0,425,0,486,459,2,93,52,9,0,36,45,14,2017-11,4598,1.28739,328,47296,328
Piece 'o Cake,29,0,8,99,2,5,0.1457286432160804,0.0,0.375,1.0,0.16666666666666666,0.0505050505050505,6.59941,6.60,1.3625,6.21763,6.218,Piece o' Cake (2008),595,20.0,698,1,1938,8157,47,259,51,93,0,160,276,70,2017-11,1389,1.16861,1914,86882,1914
Vasco da Gama,59,0,12,99,2,4,0.2964824120603015,0.0,0.625,1.0,0.16666666666666666,0.040404040404040414,7.29782,7.30,3.2436,6.90931,6.909,Vasco da Gama (2009),901,138.0,1255,0,4299,6852,25,678,131,198,0,353,850,131,2017-11,421,1.31255,3822,350280,3822
Dominion: Alchemy,29,0,13,99,2,6,0.1457286432160804,0.0,0.6875,1.0,0.16666666666666666,0.060606060606060615,6.9614,6.96,2.4557,6.744,6.744,Dominion: Alchemy (2010),1415,248.0,706,5,14769,19083,28,884,209,206,9,316,963,122,2017-11,N/A,1.47506,6958,333852,6958
RFTG: the Brink of War,24,0,12,99,1,6,0.12060301507537688,0.0,0.625,1.0,0.0,0.060606060606060615,,,,,,,,,,,,,,,,,,,,,,,,,,
Albion,44,0,10,99,2,4,0.22110552763819094,0.0,0.5,1.0,0.16666666666666666,0.040404040404040414,6.09974,6.10,2.5333,5.65333,5.653,Albion (2009),136,12.0,355,1,621,440,0,120,62,15,0,30,78,13,2017-11,4634,1.27303,337,65863,337
Dominion: Prosperity,44,0,13,99,2,6,0.22110552763819094,0.0,0.6875,1.0,0.16666666666666666,0.060606060606060615,8.29574,8.30,2.4879,8.02229,8.022,Dominion: Prosperity (2010),1991,432.0,1001,7,22171,40778,165,948,259,381,5,453,1668,268,2017-11,N/A,1.16319,10811,492666,10811
Glen More,34,0,10,99,2,5,0.1708542713567839,0.0,0.5,1.0,0.16666666666666666,0.0505050505050505,7.35316,7.35,2.673,7.12993,7.130,Glen More (2010),1785,267.0,2288,2,7486,22563,107,1134,156,773,2,526,2242,400,2017-11,238,1.13652,7425,453386,7425
20th Century,59,0,12,99,3,5,0.2964824120603015,0.0,0.625,1.0,0.3333333333333333,0.0505050505050505,6.92058,6.92,2.9612,6.36138,6.361,20th Century (2010),469,32.0,961,4,1988,2668,2,425,139,55,0,129,241,57,2017-11,1089,1.16493,1527,135080,1527
